1004

hql	jpql	1
('hql', 'more', 'jpql', '', '16886935', 'because hql is more or less superset of jpql it of course works also in hql\n')
('multiplication', 'higher', 'addition', '', '4456107', 'the precedence relationship is the same multiplication is higher then addition\n')
('multiplication', 'higher', 'addition', '', '19324511', 'an expression like binds as not because of associativity but because 2 multiplication has higher precedence that + 2 addition\n')
('multiplication', 'higher', 'addition', '', '18757365', 'for example 1 + 2 3 is treated as 1 + 2 3 whereas 1 2 + 3 is treated as 1 2 + 3 since multiplication has a higher precedence than addition +\n')
('multiplication', 'slower', 'addition', 'performance', '8662342', 'if multiplication is slower than addition instead of doing\n')
('addition', 'faster', 'multiplication', 'performance', '3436372', 'in any case if addition is faster than multiplication a better solution might be to use a table and index by it\n')
('multiplication', 'slower', 'addition', 'performance', '23555455', 'proposition when implemented in logic gates using the usual algorithms an integer multiplication circuit is o log n times slower than an addition circuit where n is the number of bits in a word\n')
('multiplication', 'more priority', 'addition', '', '17007125', 'since multiplication has more priority than addition when you give a+1 to the macro it becomes 10 + 10 + 1 21\n')
('multiplication', 'more expensive', 'addition', '', '1907934', 'since multiplication is more expensive than addition you want to let the machine paralleliz it as much as possible so saving your stalls for the addition means you spend less time waiting in the addition loop than you would in the multiplication loop\n')
('multiplication', 'higher', 'addition', '', '7276022', 'multiplication has higher precedence than addition subtraction\n')
('multiplication', 'faster', 'addition', 'performance', '25564265', 'if the multiplication is truly faster than the addition then i expect somebody well-versed in byte code could explain why the load_fast for num is faster than the five operations for line 12\n')
('multiplication', 'stronger', 'addition', '', '25352922', 'the reason for this is that and is strong than or it s like in math where multiplication is stronger than addition 3 5+3 15+3 18\n')
('multiplication', 'higher', 'addition', '', '25761401', 'for example 1 + 2 3 is treated as 1 + 2 3 whereas 1 2 + 3 is treated as 1 2 + 3 since multiplication has a higher precedence than addition\n')
('multiplication', 'more overhead simple', 'addition', 'performance', '10578538', 'as multiplication of ints has more overhead than simple addition\n')
('multiplication', 'higher precedence', 'addition', '', '11993555', 'multiplication has a higher precedence than addition so it is evaluated first\n')
('multiplication', 'operator higher priority', 'addition', '', '9818771', 'they state that the binary multiplication operator has higher priority than the binary addition operator +\n')
('multiplication', 'higher precedence', 'addition', '', '19324511', 'an expression like binds as not because of associativity but because 2 multiplication has higher precedence that + 2 addition\n')
('multiplication', 'longer', 'addition', '', '24960879', 'the multiplication are the bottleneck of the calculation even though they may be one instruction a multiplication takes longer than an addition\n')
('multiplication', 'more time', 'addition', 'performance', '7094585', 'it is well-known that the processor instruction for multiplication takes several times more time than addition division is even worse upd which is not true any more see below\n')
('multiplication', 'more expensive', 'addition', '', '2324403', 'multiplication is more expensive than addition subtraction and division is more expensive still\n')
('multiplication', 'more', 'addition', '', '1907934', 'since multiplication is more expensive than addition you want to let the machine paralleliz it as much as possible so saving your stalls for the addition means you spend less time waiting in the addition loop than you would in the multiplication loop\n')
('multiplication', 'higher precedence', 'addition', '', '18400501', 'for example in the expression 1 + 5 3 the answer is 16 and not 18 because the multiplication operator has a higher precedence than the addition + operator\n')
('addition', 'faster', 'multiplication', 'performance', '15668718', 'the same speed as addition though still faster than multiplication\n')
('multiplication', 'higher', 'addition', '', '6801431', 'multiplication is higher precedence than addition and addition is left-associative so this is equivalent to but knowing that only tells you that the first addition will happen before the second addition and that the multiplication will happen before the second addition\n')
('multiplication', 'higher', 'addition', '', '5240694', 'usually multiplication has a higher precedence than addition but the grammar you have posted has the reverse that might be part of your problem\n')
('multiplication', 'slower', 'addition', 'performance', '16419043', 'multiplication is generally slower than addition\n')
('multiplication', 'harder', 'addition', '', '9714461', 'for integers multiplication is harder than addition may be slower than addition etc but may still be very fast as long as there is sufficient cpu-power dedicated to it\n')
('multiplication', 'higher', 'addition', '', '10820486', 'multiplication has a higher operator precedence than addition so it s done before the two additions when calculating the value for a\n')
('addition', 'operation more trivial', 'multiplication', '', '12569367', 'i know that addition operation is more trivial than multiplication operation\n')
('multiplication', 'faster', 'addition', 'performance', '11945579', 'on simple low-cost processors typically bitwise operations are substantially faster than division several times faster than multiplication and sometimes significantly faster than addition\n')
('multiplication', 'higher operator', 'addition', '', '19075387', 'multiplication has higher operator priority than addition in java\n')
('multiplication', 'slower', 'addition', 'performance', '3292862', 'i don t understand why the division multiplication in c++ is so much slower than addition subtraction where the managed c# version is more reasonable to my expectations\n')
('multiplication', 'slower', 'addition', 'performance', '11812274', 'multiplication is a relatively complex operation and is likely to be slower than say addition or comparison\n')
('addition', 'lower precedence', 'multiplication', '', '8477591', 'that is if you have then you are guaranteed that a happens before b and that b happens before c regardless of the fact that a is involved in an addition which is lower precedence than a multiplication\n')
('multiplication', 'oprator higher precedence', 'addition', '', '13048327', 'that s because the multiplication oprator has higher precedence than addition\n')
('multiplication', 'higher', 'addition', '', '13573053', 'either way your example with the numeric expression would multiplying by 3 first because multiplication has higher precedence than addition or subtraction\n')
('multiplication', 'higher precedence', 'addition', '', '19867093', 'division and multiplication have higher precedence than addition so what this is actually doing is\n')
('addition', 'lower precedence', 'multiplication', '', '11659788', 'or has a lower precedence than just as addition in mathematics has a lower precedence than multiplication\n')
('multiplication', 'faster', 'addition', 'performance', '25564265', 'i would also be moderately surprised if the multiplication actually was faster than the addition\n')
('multiplication', 'higher', 'addition', '', '11993555', 'multiplication has a higher precedence than addition so it is evaluated first\n')
('multiplication', 'higher precedence', 'addition', '', '13594857', 'the multiplication has higher precedence and therefore binds more tightly than addition\n')
('multiplication', 'higher', 'addition', '', '22178187', 'this line works because of operator precedence multiplication has a higher precedence than addition + so it will be done first\n')
('multiplication', 'higher', 'addition', '', '23620068', 'because multiplication has a higher precedence than addition\n')
('multiplication', 'higher', 'addition', '', '10229047', 'that s akin to multiplication has higher precedence than addition so 3 sticks to 4 instead of 5 so the output is 17\n')
('multiplication', 'operator higher', 'addition', '', '18583946', 'in technical terms the x multiplication operator has higher precedence than the + addition operator\n')
('multiplication', 'higher then', 'addition', '', '4456107', 'the precedence relationship is the same multiplication is higher then addition\n')
('addition', 'operator lower', 'multiplication', '', '1969120', 'of course it is 10 because the addition operator has a lower precedence than the multiplication operator and so 4 + 3 2 always means 4 + 3 2\n')
('multiplication', 'higher', 'addition', '', '25555976', 'for example multiplication is of higher precedence than addition so 2 + 3 x 4 is equivalent to 2 + 3 x 4 not 2 + 3 x 4\n')
('addition', 'faster', 'multiplication', 'performance', '3436372', 'even if addition is faster than multiplication i think that you will lose more because of the branching\n')
('addition', 'faster', 'multiplication', 'performance', '4757905', 'in the remote case those operations are not simplified assuming that there is a jit that maps the multiplication and add opcodes in a 1 1 relationship to their cpu instruction counterparts in most modern architectures all integer arithmetic operations usually take the same number of cycles so it will be faster multiplying once than add four times just checked it addition is still slightly faster than multiplication 1 clock vs 3 clocks so it still pays using a multiplication here\n')
('addition', 'faster', 'multiplication', 'performance', '4376029', 'because addition is faster than multiplication and can be faster than shift\n')
('multiplication', 'higher precedence', 'addition', '', '1525321', 'just because multiplication has a higher precedence than addition doesn t mean we need to perform all multiplication in the expression before doing any addition\n')
('multiplication', 'higher precedence', 'addition', '', '9710547', 'and has higher precedence than or so the brackets are optional - in the same way as multiplication has higher precedence than addition so\n')
('multiplication', 'higher precedence', 'addition', '', '10375250', 'in arithmetic books and computer software and more-expensive calculators this means 12+ 34 56 not 12+34 56 because multiplication has higher precedence than addition\n')
('multiplication', 'higher precedence', 'addition', '', '2977437', 'the difference is that in the second pattern the concatenation x followed by y in xy has higher precedence than the choice either x or y in x|y like multiplication has higher precedence than addition so the pattern is equivalent to\n')
('multiplication', 'faster', 'addition', 'performance', '15307701', 'on simple low-cost processors typically bitwise operations are substantially faster than division several times faster than multiplication and sometimes significantly faster than addition\n')
('addition', 'lower precedence', 'multiplication', '', '1969120', 'of course it is 10 because the addition operator has a lower precedence than the multiplication operator and so 4 + 3 2 always means 4 + 3 2\n')
('multiplication', 'higher precedence', 'addition', '', '13573053', 'either way your example with the numeric expression would multiplying by 3 first because multiplication has higher precedence than addition or subtraction\n')
('multiplication', 'harder', 'addition', '', '6726376', 'multiplication is much harder than addition\n')
('addition', 'faster', 'multiplication', 'performance', '3209313', 'at the time this was faster because addition was a lot faster than multiplication but that s no longer the case\n')
('multiplication', 'more time', 'addition', 'performance', '7094585', 'so ideally i want to have approximate relative times of elementary operations execution like multiplication typically takes 5 times more time than addition exponent is about 100 multiplication\n')
('multiplication', 'harder', 'addition', '', '1117702', 'if you think back to grade school you ll recall that multiplication was harder than addition and division was harder than multiplication\n')
('multiplication', 'higher precedence', 'addition', '', '3154138', 'in arithmetic multiplication has higher precedence than addition\n')
('multiplication', 'higher precedence', 'addition', '', '2972163', 'for instance in arithmetic multiplication has higher precedence than addition\n')
('multiplication', 'higher precedence', 'addition', '', '22079195', 'the and operator has higher precedence than or just like multiplication has higher precedence than addition\n')
('multiplication', 'higher operator', 'addition', '', '10820486', 'multiplication has a higher operator precedence than addition so it s done before the two additions when calculating the value for a\n')
('multiplication', 'higher precedence', 'addition', '', '9298262', 'and has higher precedence than or just like multiplication has higher precedence than addition\n')
('multiplication', 'higher', 'addition', '', '9710547', 'and has higher precedence than or so the brackets are optional - in the same way as multiplication has higher precedence than addition so\n')

direct3d	direct2d	3
('direct2d', 'more', 'direct3d', '', '19740472', 'direct2d is more or less dead nowadays and one would use direct3d also to render 2d\n')
('direct2d', 'simpler', 'direct3d', 'usability', '12540800', 'if you are willing to limit yourself to vista or later then direct2d would be a little simpler than direct3d\n')
('direct3d', 'easier', 'direct2d', 'usability', '10881667', 'direct3d appears in principal to be easier than direct2d but has poor text font handling in the latest version\n')

opera	firefox	11
('firefox', 'faster', 'opera', 'performance', '19554859', 'but if firebug donâ t enabled after launch firefox â time equal 2ms that faster than opera and google-chrome and difference between empty filled array disappears\n')
('firefox', 'significantly faster', 'opera', 'performance', '17023332', 'it seems to be slower in google-chrome and firefox but is significantly faster in opera\n')
('firefox', 'even worse', 'opera', '', '1451062', 'the problem with this code is that it doesn t quite work on firefox and works even worse on opera\n')
('firefox', 'just far more access', 'opera', 'usability', '3323922', 'firefox just provides far more access to its own internals and system to the extensions so its technically possible to do more with them than with opera widgets or google-chrome extensions\n')
('opera', 'bigger', 'firefox', 'memory', '17721821', 'on your screenshot div width in opera is bigger than in firefox and google-chrome\n')
('firefox', 'even fewer', 'opera', '', '14056377', 'firefox has even fewer as far as i know and opera has none\n')
('opera', 'worse', 'firefox', '', '9978052', 'only firefox and opera seem to have this issue opera even worse than firefox but i don t care that much about opera\n')
('opera', 'slower', 'firefox', 'performance', '1278273', 'for example i ve read that opera and ie will fix framerates slower than firefox\n')
('opera', 'larger fonts', 'firefox', 'memory', '2292967', 'update under linux gentoo amd64 it s the same - opera reneders slightly larger fonts than firefox but nothing that looks odd\n')
('firefox', 'just far more', 'opera', '', '3323922', 'firefox just provides far more access to its own internals and system to the extensions so its technically possible to do more with them than with opera widgets or google-chrome extensions\n')
('firefox', 'less such', 'opera', '', '19552846', 'for example in the classic browser share example if the firefox is at 45 i want to be rendered inside the pie distance -40 may be and where the slice is less such as opera at 6 - i want it to be shown outside with a connector\n')

ceil	floor	3
('ceil', 'greater', 'floor', '', '1719752', 'the floor times the ceil are greater than the floor xy...that s very much possible\n')
('floor', 'idx lower element', 'ceil', '', '18961058', 'so floor idx is the lower element and ceil idx is the higher\n')
('floor', 'idx lower', 'ceil', '', '18961058', 'so floor idx is the lower element and ceil idx is the higher\n')

engineyard	heroku	4
('engineyard', 'less', 'heroku', '', '12955309', 'engineyard also seems like a great company but i think they hold your hand a little less than heroku\n')
('heroku', 'more full-service', 'engineyard', '', '7269490', 'in choosing heroku is more full-service whereas engineyard is a more traditional service giving you access to boxes but needing sysadmin skills\n')
('heroku', 'more', 'engineyard', '', '7269490', 'in choosing heroku is more full-service whereas engineyard is a more traditional service giving you access to boxes but needing sysadmin skills\n')
('engineyard', 'better', 'heroku', '', '4218386', 'engineyard does provide application-level support too which is a fair bit better than what heroku does\n')

openpgp	x509	1
('openpgp', 'simpler', 'x509', 'usability', '2282055', 'openpgp is simpler than x509 but more limited especially if you wish to have a strong legal meaning behind the certificates\n')

algol	apl	1
('algol', 'less weird', 'apl', '', '3725905', 'as far as the syntax goes i guess it s a bit different from the more classic syntax of the algol family languages but it s no more and possibly less weird than apl\n')

uicontrol	uibutton	4
('uicontrol', 'more customization', 'uibutton', '', '15008437', 'a solution i ve used is a simple subclass of uicontrol which allows more customization than subclassing uibutton and less hassle than nsattributedstring et al\n')
('uicontrol', 'more', 'uibutton', '', '15008437', 'a solution i ve used is a simple subclass of uicontrol which allows more customization than subclassing uibutton and less hassle than nsattributedstring et al\n')
('uicontrol', 'finer control', 'uibutton', 'usability', '4895037', 'sounds like you want to use some of the inherited uicontrol methods such as sendaction to forevent this offers even finer control than with uibutton\n')
('uibutton', 'cleaner', 'uicontrol', '', '12469991', 'instead of working around the 1 label and image you get in a uibutton it s cleaner to start from scratch with a uicontrol and create your tiles\n')

textblock	richtextbox	1
('textblock', 'simpler', 'richtextbox', 'usability', '1287034', 'good advice but in the end i decided a bindable textblock was more useful and simpler than a richtextbox\n')

qmap	qlist	1
('qmap', 'larger', 'qlist', 'memory', '16594128', 'this relates to another question i asked a while back at size of qt containers is qmap much larger than qlist\n')

mbprogresshud	uialertview	2
('mbprogresshud', 'more features', 'uialertview', 'usability', '9816661', 'mbprogresshud has more features than uialertview so it might be better suited and more easily adapted for your purposes\n')
('mbprogresshud', 'more', 'uialertview', '', '9816661', 'mbprogresshud has more features than uialertview so it might be better suited and more easily adapted for your purposes\n')

strncpy	strcpy	13
('strncpy', 'less weird', 'strcpy', '', '5883113', 'the best solution is to write a custom version of strncpy that is less weird or if you know the length of the input just use strcpy\n')
('strncpy', 'not safer', 'strcpy', 'security', '13903306', 'strncpy is not safer method to use as strcpy\n')
('strcpy', 'better', 'strncpy', '', '5463735', 'strcpy could be better replaced by strncpy which does some bound checking\n')
('strncpy', 'safer', 'strcpy', 'security', '17641528', 'strncpy is safer than strcpy\n')
('strncpy', 'safer', 'strcpy', 'security', '1258708', 'strncpy is not safer than strcpy it just trades one type of bugs with another\n')
('strncpy', 'better', 'strcpy', '', '10845959', 'using strncpy 3 is better than strcpy 3 but things like strlcpy 3 are better still\n')
('strncpy', 'less', 'strcpy', '', '5883113', 'the best solution is to write a custom version of strncpy that is less weird or if you know the length of the input just use strcpy\n')
('strncpy', 'safer', 'strcpy', 'security', '3629186', 'in general strncpy is a safer alternative to strcpy\n')
('strncpy', 'safier', 'strcpy', '', '12236011', 'using strncpy is considered safier than strcpy because the second one can easily cause buffer overrun\n')
('strncpy', 'not safer', 'strcpy', 'security', '1258708', 'strncpy is not safer than strcpy it just trades one type of bugs with another\n')
('strncpy', 'not safer method', 'strcpy', 'security', '13903306', 'strncpy is not safer method to use as strcpy\n')
('strncpy', 'safer alternative', 'strcpy', 'security', '3629186', 'in general strncpy is a safer alternative to strcpy\n')
('strncpy', 'safer', 'strcpy', 'security', '18727224', 'strcpy is notoriously unsafe as are it s cousins strcpy_s and strncpy although they are mildly safer than strcpy\n')

aptana	textmate	1
('aptana', 'more', 'textmate', '', '4725870', 'in studio 3 much of this sort of functionality is still coming as aptana is going more of a textmate bundle route for a great deal of their features which i think is really cool\n')

gridview	objectdatasource	1
('gridview', 'nicer', 'objectdatasource', '', '9131691', 'from what i ve read the gridview control plays a lot nicer with the objectdatasource\n')

scipy	sympy	1
('scipy', 'better option', 'sympy', 'usability', '16105354', 'first of all if it was not for the relative complexity of the expressions here scipy would have been definitely the better option over sympy\n')

factories	presenter	1
('factories', 'lighter', 'presenter', 'memory', '14440549', 'which is basically the same thing as the factories then depend on sub-factories but at least they are lighter than presenter views services and they don t need to load the sub-factories until they are needed\n')

typo3	joomla	1
('typo3', 'more professional', 'joomla', '', '683028', 'i didn t work with these applications yet but afaik typo3 and ezpublish both php are considered much more professional than joomla\n')

x86	mips	8
('mips', 'much more orthogonal', 'x86', '', '9219871', 'mips is much more orthogonal than x86 could ever dream of being\n')
('x86', 'more complex instructions', 'mips', 'usability', '454121', 'x86 have more complex instructions than mips\n')
('mips', 'less complex', 'x86', 'usability', '12800438', 'the wording in your question seems to suggest you don t care as much that the output is mips but rather you want the output to be less complex than x86\n')
('mips', 'easier', 'x86', 'usability', '1382636', 'do any of the other common architectures like arm mips sparc etc have an easier than x86 instruction set\n')
('mips', 'much more', 'x86', '', '9219871', 'mips is much more orthogonal than x86 could ever dream of being\n')
('mips', 'more orthogonal', 'x86', '', '9219871', 'mips is much more orthogonal than x86 could ever dream of being\n')
('mips', 'easier', 'x86', 'usability', '16701685', 'if you have not programmed assembly before i suggest you choose mips since it is easier than x86 and then b looking at how to transfer data with the serial port to begin with since this illustrates memory-mapped i o that is used\n')
('mips', 'more straightforward', 'x86', '', '2656592', 'a better bet might be to install spim and to learn mips assembly which is more straightforward than x86 anyways\n')

nsmutablestring	nsstring	5
('nsmutablestring', 'more', 'nsstring', '', '14341239', 'note also that using nsmutablestring is more efficient than creating a new nsstring each time a letter is added\n')
('nsmutablestring', 'more things', 'nsstring', '', '12529478', 'all-in all the reason is that nsmutablestring is able to do more things than nsstring and can do anything nsstring can hence the direction of inheritance\n')
('nsstring', 'more general', 'nsmutablestring', '', '12530092', 'nsstring is more general as it leaves you the oppertunity to create another subclass of it that could add the altering functionality without using the nsmutablestring s implementation why ever you would want that to do\n')
('nsmutablestring', 'more efficient', 'nsstring', 'performance', '14341239', 'note also that using nsmutablestring is more efficient than creating a new nsstring each time a letter is added\n')
('nsstring', 'more', 'nsmutablestring', '', '12530092', 'nsstring is more general as it leaves you the oppertunity to create another subclass of it that could add the altering functionality without using the nsmutablestring s implementation why ever you would want that to do\n')

listview	gridview	6
('listview', 'more', 'gridview', '', '1879340', 'regarding comparison between gridview and listview my experience is that listview is more lightweight as compared to gridview\n')
('gridview', 'more', 'listview', '', '2419913', 'the error is because the gridview is being applied to more than one listview\n')
('listview', 'better', 'gridview', '', '16225337', 'i think the listview is better than gridview in this situation\n')
('listview', 'more lightweight', 'gridview', 'memory', '1879340', 'regarding comparison between gridview and listview my experience is that listview is more lightweight as compared to gridview\n')
('listview', 'better', 'gridview', '', '10809', 'listview much better than the gridview dataview in that they let you write out clean html\n')
('listview', 'better fit', 'gridview', '', '13209588', 'here s another article that describes the listview control and why it s probably a better fit than the gridview\n')

rank	median	1
('rank', 'greater', 'median', '', '23921595', 'we use ave to see which rank are greater than the median for each group and we select where those are true\n')

subtraction	multiplication	8
('subtraction', 'cheaper', 'multiplication', '', '698780', 'addition subtraction for the rectangular bound calculation is cheaper than multiplication\n')
('multiplication', 'higher', 'subtraction', '', '23612128', 'since multiplication has a higher precedence than subtraction you should subtract 0 to your digit character before multiplying it\n')
('subtraction', 'harder', 'multiplication', '', '9714461', 'for floating point operations addition and subtraction are harder than multiplication and division so they may be slower or not again it depends on how much transistor real estate there is dedicated to the fpu\n')
('multiplication', 'more', 'subtraction', '', '18877408', 'in general multiplication is more costlier than subtraction right\n')
('subtraction', 'faster', 'multiplication', 'performance', '15668718', 'subtraction operations and usually significantly faster than multiplication and division\n')
('multiplication', 'costlier', 'subtraction', '', '18877408', 'in general multiplication is more costlier than subtraction right\n')
('multiplication', 'more costlier', 'subtraction', '', '18877408', 'in general multiplication is more costlier than subtraction right\n')
('multiplication', 'higher precedence', 'subtraction', '', '23612128', 'since multiplication has a higher precedence than subtraction you should subtract 0 to your digit character before multiplying it\n')

auto	decltype	3
('auto', 'more concise', 'decltype', 'usability', '12084124', 'in the cases where auto can be used it is more concise than decltype as you don t need to provide the expression from which the type will be inferred\n')
('decltype', 'significantly more', 'auto', '', '21369252', 'decltype is significantly more versatile that auto and can always be used in place of it\n')
('decltype', 'significantly more versatile', 'auto', '', '21369252', 'decltype is significantly more versatile that auto and can always be used in place of it\n')

mongodb	bson	4
('mongodb', 'more', 'bson', '', '19052828', 'mongodb supports no more than 100 levels of nesting for bson document.\n')
('mongodb', 'more flexible', 'bson', 'usability', '4276683', 'mongodb stores everything in memory anyway and works in a similar vein being a key-value based system however i believe mongodb is more flexible as it allows for storing bson objects within themselves\n')
('mongodb', 'more', 'bson', '', '10763863', 'a document in mongodb is more or less like a json structure bson to be specific\n')
('mongodb', 'more', 'bson', '', '4276683', 'mongodb stores everything in memory anyway and works in a similar vein being a key-value based system however i believe mongodb is more flexible as it allows for storing bson objects within themselves\n')

parent	children	133
('children', 'greater', 'parent', '', '6051255', 'this children height can be greater than the parent container\n')
('children', 'greater', 'parent', '', '21966140', 'once you have chosen a root node it is already easy to construct a bst taking into consideration the fact that left children are less than the parent node and all right children are greater than the parent node\n')
('parent', 'process earlier', 'children', '', '23714489', 'i guess the reason you observe this behaviour with just a guess it could be wrong is because the parent process is terminated earlier than its children so your terminal s prompt is printed before some of the children s output\n')
('parent', 'lower id', 'children', '', '23830353', 'this class assumes that nodes have numeric values for id and pid and parent node has lower id than its children which is common in tree structures\n')
('parent', 'always larger', 'children', 'memory', '6640471', 'as you are always swapping it with the larger of the two heap property means that the parent is always larger than its children\n')
('parent', 'header bigger', 'children', 'memory', '13273316', 'the table can contain two or more headers where the parent header gets a bigger colspan and the bottom header conforms by giving the equivalent amount of columns i.e index 4 has two children indexed 1 and 2\n')
('children', 'less restrictive', 'parent', '', '4047317', 'this would generally be the wrong inheritence structure if your saying what i think you are the reason being that children should not be less restrictive than parent\n')
('parent', 'more then', 'children', '', '21099035', 'what i want to do is to search for all parent who has more then n children in other words i would want to get all user records that had an activity more then n times within given period of time eventtimestamp\n')
('children', 'elements larger', 'parent', 'memory', '9945359', 'how can i achieve that my container will adjust the height accordingly of the children items when the height of the children elements is larger then configured minheight of their parent element\n')
('children', 'less', 'parent', '', '21966140', 'once you have chosen a root node it is already easy to construct a bst taking into consideration the fact that left children are less than the parent node and all right children are greater than the parent node\n')
('children', 'more depth', 'parent', '', '4836689', 'then children have one more depth than their parent and children s path starts with the parent path\n')
('children', 'greater', 'parent', '', '4564596', 'i have an issue when the player is small the children combine width is greater than the parent width\n')
('children', 'more efficient', 'parent', 'performance', '7125220', 'as harypyon suggests storing the children is a more efficient way of viewing this problem than storing the parent and then computing the children\n')
('parent', 'node lower id', 'children', '', '23830353', 'this class assumes that nodes have numeric values for id and pid and parent node has lower id than its children which is common in tree structures\n')
('parent', 'more', 'children', '', '6097438', 'what if a parent has more than 100 children\n')
('parent', '#wr more', 'children', '', '10463526', 'since the parent #wr has more children #con_bottom does not fit\n')
('children', 'more', 'parent', '', '11585485', 'there are also different types of trees -- i am going to assume that you are using a normal old tree any number of children no more than one parent one root node\n')
('children', 'higher', 'parent', '', '5253082', 'and since the children in your home block start their own stacking context one level higher than the parent your home li can never be above the items inside it\n')
('parent', 'more content', 'children', '', '289468', 'i have come up with a few ideas such as traversing the html document tree to its leaves adding up the length of the text and only seeing what other text the parent has if the parent gives us more content than the children do\n')
('parent', 'smaller', 'children', 'memory', '10342766', 'also it seems this is only the problem when there are a lot of duplicates the heap doesn t seem completely capable of staying in order the parent is smaller than the children\n')
('parent', 'lower z-index', 'children', '', '20983503', 'because the parent has lower z-index than the .modal-backdrop everything in it will be behind the modal irrespective of any z-index given to the children\n')
('children', 'more', 'parent', '', '7649499', 'can children have more than one parent\n')
('children', 'greater', 'parent', '', '2138363', 'if smallest state of all children is greater than parent s state then update parent\n')
('parent', 'greater', 'children', '', '3716386', 'but its parent is greater than or equal to w so at some level of the tree one of the children of the greatest element is w\n')
('parent', 'more', 'children', '', '10006960', 'i believe that some parent will have more than 2 children\n')
('children', 'higher', 'parent', '', '9381223', 'the z-index for the children should be higher than the parent\n')
('children', 'less', 'parent', '', '7747319', 'just remember in a nested set all children s left values are greater than and right values are less than the parent\n')
('parent', 'id lower number', 'children', '', '17147641', 'the above query only works if the parent id is a lower number than all the children\n')
('parent', 'higher', 'children', '', '22542709', 'i ve tried a bunch of other things as well one of them being hook elements with insertafter but stay in parent - jquery which worked perfectly but if the position was higher than the children inside the parent it didn t know what to do with it and causing a lot of unwanted behavior\n')
('children', 'smaller', 'parent', 'memory', '14903012', 'what if both children are equal and smaller than the parent\n')
('parent', 'bigger', 'children', 'memory', '9653437', 'as a general rule of thumb i keep the parent bigger than the children\n')
('children', 'higher opacity', 'parent', '', '15823916', 'use rgba instead on the container div to set the opacity as the opacity properties is inherited by all children elements even text nodes meaning a descendant of any kind can t have a higher opacity than its parent\n')
('parent', 'smaller', 'children', 'memory', '15460121', 'here a number of methods are described to fix the parent which collapses to smaller than its floating children\n')
('parent', 'higher z-index', 'children', '', '9381223', 'since parent have a higher z-index than its children you need to change the default browser stacking behavior\n')
('parent', 'div better', 'children', '', '12540569', 'now since the pseudo-element is below all of the floated children the parent div happens or better yet seems to contain the floated children as well - which is really what you want\n')
('parent', 'larger', 'children', 'memory', '6640471', 'as you are always swapping it with the larger of the two heap property means that the parent is always larger than its children\n')
('parent', 'easier', 'children', 'usability', '16539735', 'i would prefer the 1st one since maintaining 1 value of parent is easier efficient than maintaining list of all children\n')
('parent', 'larger', 'children', 'memory', '24718764', 'so the problem i have now that the parent div height is larger than his children s height\n')
('children', 'higher z-index', 'parent', '', '9133312', 'by giving .artist-container a higher z-index you are placing it higher in the stacking order than the child image though children always have a higher z-index than their parent\n')
('parent', 'higher z-index', 'children', '', '19232855', 'however if for example you have two parent sibling elements where one has a higher z-index than the other no descendant of the parent with the lower z-index will ever have a higher z-index than children of the parent with the higher z-index even if you set the former s children to z-index 500 or something like that\n')
('children', 'greater', 'parent', '', '12992744', 'index for children will always be greater than the parent as shown in the vector above\n')
('children', 'smaller', 'parent', 'memory', '14903012', 'and the reason why the subtree isn t reached is because you only call heapifyhelper for the children if one of the children is smaller than the parent but when you call heapifyhelper 1 the two children of the node 5 are 9 and 11 both larger than the root value\n')
('parent', 'larger', 'children', 'memory', '25338534', 'again if the parent view is not larger than its children the expansion suffix does not make any difference as well\n')
('children', 'more', 'parent', '', '23390839', 'the problem i have is that some children have more than one parent but because in order to use the recursive parent nicely i need to group the results by id i only see distinct entries\n')
('parent', 'more', 'children', '', '20305169', 'i have one parent resource which can have more than one children of one attrbiute and one than more children of other attribute\n')
('children', 'lower z-index', 'parent', '', '16504832', 'now the children have a lower z-index than the parent\n')
('parent', 'more', 'children', '', '15116711', 'get all the parent that have more than two children\n')
('children', 'faster', 'parent', 'performance', '6880451', 'children is faster than find for example just like parent is faster than parent\n')
('children', 'greater', 'parent', '', '16231641', 'if children height is greater than parent i need to set height of children to parent\n')
('children', 'lower', 'parent', '', '7639612', 'you could do something similar using the score values in sorted sets giving children a score just lower than the parent\n')
('children', 'more', 'parent', '', '20455473', 'so in this labelling scheme left children are 2 i+1 more than their parent where i is the height of the child while right children are 1 more than their parent\n')
('parent', 'higher rate', 'children', '', '15344834', 'i subscribed to the main canvas sizechanged event and applied a scale transform so that the canvas and its children would shrink and grow in a zoom like fashion when the control is resized which is working but for some reason the parent canvas is shrinking at a much higher rate than the children making the children fall off of the canvas at a certain point because of the scale rate\n')
('parent', 'earlier', 'children', '', '23714489', 'i guess the reason you observe this behaviour with just a guess it could be wrong is because the parent process is terminated earlier than its children so your terminal s prompt is printed before some of the children s output\n')
('parent', 'view larger', 'children', 'memory', '25338534', 'suffix expand if the parent view is larger than the combined size of all its children additional space is available then the space is proportioned amongst child views with that suffix\n')
('children', 'larger', 'parent', 'memory', '7725351', 'pushing and popping any item on a heap simply updates the elements in it in such a way that there is no node where its children are larger than the parent for max heap\n')
('children', 'smaller value', 'parent', 'memory', '11353004', 'if a node has two children then the left child has a smaller value than the parent and the right child has a bigger value\n')
('children', 'less', 'parent', '', '7112786', 'however if the keys are not comparable how are we supposed to tell whether the children are greater or less than the parent\n')
